"xmin","xmax","ymin","ymax"
-106.000555556,-104.99944444,39.99944444,41.000555556
-111.000555555,-109.999444439,42.99944444,44.000555556
-110.000555556,-108.999444445,37.999444444,39.000555555
-111.000555554,-109.999444443,40.999444444,42.000555555
-108.000555556,-106.999444445,37.999444444,39.000555555
-111.000555556,-109.999444445,37.999444444,39.000555555
-108.000555556,-106.999444445,41.999444444,43.000555555
-109.000555556,-107.999444445,42.999444444,44.000555555
-110.000555556,-108.999444445,41.999444444,43.000555555
-106.000555556,-104.999444445,42.999444444,44.000555555
-109.000555556,-107.999444445,40.999444444,42.000555555
-111.000555556,-109.999444445,41.999444444,43.000555555
-109.000555556,-107.999444445,39.999444444,41.000555555
-110.000555556,-108.999444445,40.999444444,42.000555555
-110.000555556,-108.999444445,42.999444444,44.000555555
-106.000555556,-104.999444445,37.999444444,39.000555555
-106.000555556,-104.999444445,41.999444444,43.000555555
-106.000555556,-104.999444445,38.999444445,40.000555555
-109.000555555,-107.999444445,37.999444444,39.000555555
-113.000555555,-111.999444445,37.999444444,39.000555555
-113.000555555,-111.999444445,41.999444445,43.000555555
-107.000555555,-105.999444445,38.999444445,40.000555555
-107.000555555,-105.999444445,40.999444445,42.000555555
-108.000555555,-106.999444445,40.999444445,42.000555555
-107.000555555,-105.999444445,42.999444444,44.000555555
-109.000555555,-107.999444445,38.999444445,40.000555555
-111.000555556,-109.999444445,36.999444444,38.000555555
-107.000555556,-105.999444445,36.999444444,38.000555555
-108.000555555,-106.999444445,36.999444445,38.000555555
-111.000555555,-109.999444439,43.99944444,45.000555556
-113.000555556,-111.999444445,43.999444444,45.000555555
-112.000555556,-110.999444445,43.999444444,45.000555555
-105.000555555,-103.999444439,39.99944444,41.000555556
-105.000555556,-103.999444445,36.999444444,38.000555555
-105.000555556,-103.999444445,43.999444444,45.000555555
-114.000555556,-112.999444445,39.999444444,41.000555555
-114.000555556,-112.999444445,38.999444444,40.000555555
-114.000555556,-112.999444445,42.999444444,44.000555555
-114.000555555,-112.999444445,40.999444445,42.000555555
-114.000555555,-112.999444445,36.999444445,38.000555555
-113.000555555,-111.999444444,38.999444444,40.000555555
-111.000555556,-109.999444445,39.999444444,41.000555555
-107.000555556,-105.999444445,37.999444444,39.000555555
-110.000555556,-108.999444445,39.999444444,41.000555555
-108.000555556,-106.999444445,42.999444444,44.000555555
-113.000555556,-111.999444445,42.999444444,44.000555555
-107.000555556,-105.999444445,39.999444444,41.000555555
-111.000555556,-109.999444445,38.999444444,40.000555555
-106.000555556,-104.999444445,40.999444444,42.000555555
-109.000555556,-107.999444445,41.999444444,43.000555555
-112.000555556,-110.999444445,42.999444444,44.000555555
-110.000555556,-108.999444445,38.999444445,40.000555555
-112.000555555,-110.999444445,37.999444444,39.000555555
-112.000555555,-110.999444445,41.999444445,43.000555555
-107.000555555,-105.999444445,41.999444445,43.000555555
-108.000555555,-106.999444445,38.999444445,40.000555555
-112.000555555,-110.999444445,38.999444445,40.000555555
-112.000555555,-110.999444445,40.999444445,42.000555555
-112.000555555,-110.999444445,39.999444445,41.000555555
-108.000555555,-106.999444445,39.999444445,41.000555555
-113.000555555,-111.999444445,40.999444445,42.000555555
-113.000555555,-111.999444445,39.999444445,41.000555555
-112.000555556,-110.999444445,36.999444444,38.000555555
-106.000555556,-104.999444445,36.999444444,38.000555555
-110.000555556,-108.999444445,36.999444444,38.000555555
-109.000555555,-107.999444445,36.999444445,38.000555555
-113.000555555,-111.999444445,36.999444445,38.000555555
-110.000555556,-108.999444445,43.999444444,45.000555555
-108.000555556,-106.999444445,43.999444444,45.000555555
-107.000555556,-105.999444445,43.999444444,45.000555555
-106.000555556,-104.999444445,43.999444444,45.000555555
-109.000555556,-107.999444445,43.999444444,45.000555555
-105.000555556,-103.999444445,37.999444444,39.000555555
-105.000555556,-103.999444445,42.999444444,44.000555555
-105.000555555,-103.999444445,41.999444445,43.000555555
-105.000555555,-103.999444445,38.999444445,40.000555555
-105.000555555,-103.999444445,40.999444445,42.000555555
-114.000555555,-112.999444445,37.999444444,39.000555555
-114.000555555,-112.999444445,41.999444445,43.000555555
-114.000555556,-112.999444445,43.999444444,45.000555555
